caso de prueba, tiempo
UsuarioDAO BuscarCliente,392
UsuarioDAO Validar,46
UsuarioDAO BuscarCliente,328
UsuarioDAO BuscarCliente,412
UsuarioDAO Validar,39
UsuarioDAO ListarPorId,8
UsuarioDAO BuscarCliente,279
UsuarioDAO ListarPorId,0
UsuarioDAO BuscarCliente,301
UsuarioDAO BuscarCliente,294
UsuarioDAO Validar,42
UsuarioDAO BuscarCliente,349
UsuarioDAO Agregar,35
UsuarioDAO Validar,80
UsuarioDAO ListarPorId,18
UsuarioDAO BuscarCliente,463
UsuarioDAO Agregar,56
UsuarioDAO Validar,329
UsuarioDAO ListarPorId,17
UsuarioDAO BuscarCliente,681
UsuarioDAO Agregar,108
UsuarioDAO Validar,646
UsuarioDAO ListarPorId,13
UsuarioDAO BuscarCliente,631
UsuarioDAO Agregar,52
UsuarioDAO Validar,31
UsuarioDAO ListarPorId,12
UsuarioDAO BuscarCliente,363
UsuarioDAO Agregar,12
UsuarioDAO Validar,39
UsuarioDAO ListarPorId,7
UsuarioDAO BuscarCliente,329
UsuarioDAO Agregar,12
UsuarioDAO Validar,42
UsuarioDAO ListarPorId,10
UsuarioDAO BuscarCliente,303
UsuarioDAO Agregar,10
UsuarioDAO Validar,6
UsuarioDAO ListarPorId,5
UsuarioDAO BuscarCliente,461
UsuarioDAO Agregar,13
UsuarioDAO Validar,7
UsuarioDAO ListarPorId,7
UsuarioDAO BuscarCliente,352
UsuarioDAO Agregar,13
UsuarioDAO Validar,38
UsuarioDAO ListarPorId,5
UsuarioDAO BuscarCliente,391
UsuarioDAO Agregar,26
UsuarioDAO Validar,9
UsuarioDAO ListarPorId,5
UsuarioDAO BuscarCliente,331
UsuarioDAO Agregar,13
UsuarioDAO Validar,41
UsuarioDAO Listar,8
UsuarioDAO ListarPorId,5
UsuarioDAO BuscarCliente,398
UsuarioDAO Agregar,10
UsuarioDAO Validar,39
UsuarioDAO Listar,6
UsuarioDAO ListarPorId,5
UsuarioDAO BuscarCliente,323
UsuarioDAO Validar,46
UsuarioDAO Listar,6
UsuarioDAO ListarPorId,4
UsuarioDAO BuscarCliente,340
UsuarioDAO Validar,8
UsuarioDAO Listar,7
UsuarioDAO ListarPorId,6
UsuarioDAO BuscarCliente,362
UsuarioDAO Validar,19
UsuarioDAO Listar,7
UsuarioDAO ListarPorId,7
UsuarioDAO BuscarCliente,336
UsuarioDAO Agregar,13
UsuarioDAO Validar,7
UsuarioDAO Listar,7
UsuarioDAO ListarPorId,7
ProductoDAO Agregar,303
ProductoDAO ConsultaPorCodigo,16
ProductoDAO Listar,6
UsuarioDAO BuscarCliente,385
UsuarioDAO Agregar,14
UsuarioDAO Validar,39
UsuarioDAO Listar,8
UsuarioDAO ListarPorId,5
VentaDAO GuardarDetalleVenta,69
VentaDAO ObtenerMaximoIdVentas,23
VentaDAO ObtenerNumeroDeFactura,8
VentaDAO GuardarDetalleVenta,49
VentaDAO ObtenerMaximoIdVentas,18
VentaDAO ObtenerNumeroDeFactura,12
ProductoDAO Agregar,344
ProductoDAO ConsultaPorCodigo,16
ProductoDAO Listar,5
UsuarioDAO BuscarCliente,343
UsuarioDAO Agregar,17
UsuarioDAO Validar,48
UsuarioDAO Listar,7
UsuarioDAO ListarPorId,9
VentaDAO GuardarDetalleVenta,49
VentaDAO ObtenerMaximoIdVentas,15
VentaDAO ObtenerNumeroDeFactura,6
ProductoDAO Agregar,333
ProductoDAO ConsultaPorCodigo,15
ProductoDAO Listar,6
UsuarioDAO BuscarCliente,352
UsuarioDAO Agregar,14
UsuarioDAO Validar,39
UsuarioDAO Listar,11
UsuarioDAO ListarPorId,9
VentaDAO GuardarDetalleVenta,59
VentaDAO ObtenerMaximoIdVentas,16
VentaDAO ObtenerNumeroDeFactura,17
VentaDAO ObtenerNumeroDeFactura,5
UsuarioDAO BuscarCliente,285
UsuarioDAO Agregar,12
UsuarioDAO Validar,16
UsuarioDAO Listar,9
UsuarioDAO ListarPorId,6
UsuarioDAO BuscarCliente,268
UsuarioDAO Agregar,11
UsuarioDAO Validar,15
UsuarioDAO Listar,6
